name,comment,likes
@timo-se5ns,"when he said “alright” after his joke when no one laughed, i felt that",13K
@seanhean6086,"Dad: What have you learned today?

Me: My lecturer’s name is Dan.",12K
,"Dan: do you understand?
Me: yesn’t",4.5K
@MAESTRO_AURUM,"I've been to  4 universities in the past 15 minutes: MIT, Harvard, Stanford and Oxford. You could say I'm something of a genius.",1.2K
@berylpena702,these asmr go to sleep videos are getting really advanced nowadays,34K
@nmbr1dfnse,"walks in class*

objective: SURVIVE",9.6K
@thecrowvideos70,"Me: failed high school algebra 

Youtube: let’s get some Oxford calculus in your life",12K
@AmTpGaMt,"4 years after this video was published, I thought why not watch this while i eat dinner. I have never been so lost in my life",371
@YG-0123,I'm not even in this class and I'm already stressed,58K
@34577245,"me: raises hand
professor: “yes?”
me: “wtf”",2.8K
@Sasuke..Uchiha..,"Oxford: So, How many boards do you want?

Teacher: Yes.",17K
@WilliamPayneNZ,I’m starting my calculus paper as part of my bachelor of science mathematics degree at a university here in New Zealand tomorrow and this video has been an absolute blessing for me. Thank you very much for sharing this with the internet.,35
@farhanandrabi7328,"Fun note: I did not search for this.
YouTube recommended it to me.",9.9K
@pearrzmp4,"26:14 “please let me know if i made a mistake” 

Bold of him to assume that I would notice if he did",433
@AyushiSingh-yq7iy,Imagine walking in 8 mins late and trying to figure out which board to start copying down the notes from,9.4K
@sophiaisabelle0,"I know my eyeballs would detach from their sockets just watching those whiteboards move. My mouth would be hanging wide open when asked to come over and finish the remaining unanswered equations. Thanks for this lecture, Professor Dan. Keep shining all the way.",28
@surajk8050,Gonna tell my kids once I attended an Oxford lecture,24K
@chriso2609,"11:30pm: Opening YouTube to watch funny videos after a long day

11:31pm: Learning Calculus at Oxford",3.6K
@TryPuttingItInRice,"High school teachers: ""You will not address me any other way than Mr. or Mrs. Blank"" Oxford university calculus professor: ""You can call me Dan""",3.2K
@willjarrett1362,Whenever I can’t sleep I pull this video up and without fail it lulls me right to bed. Thanks!,3.4K
@loombaron,actually these lectures are very relaxing when you know you dont have an exam coming,12K
@prayatapm9451,Ahh the good old days when people are coughing and no one is suspicious,10K
@zombieman34,"Me: I want to relax and watch YouTube
YouTube: Learn Calculus",876
@fazbeargaming7196,"Im going to college this year, and I suck at math, so I fr have my computer up while watching this, and every word he says that i dont understand i look up he definition and write it down along the notes, and so far im actually starting to understand it, praying this gives me the knowledge and confidence I need.",15
@zane6921,"Imagine being a freshmen walking into this class like “Oh shoot I walked into the wrong lecture”, checking your schedule, “no wait..”",325
@alexnguyen4308,The people at oxford are relearning one year of calculus in one hour and I'm here wondering how the board works,9.1K
@neptunesedge9123,"Youtube really said: “I’ve noticed you feel like you’re stupid, here’s your confirmation”",11K
@eughyuck,Brilliant that he’s outlining what the purpose of the topics are from the outset. So few of my lecturers actually did this & just jumped straight into maths.,3
@AbigaiIx,"“Might be to easy for some of you” 

Literally all I got was the boards slide, note online, class will get harder",1.8K
@drained1177,This room has more whiteboards than my entire school.,2.7K
@JohnCarloAPenas,"""This will be the easiest course for some of you""
Me halfway the lesson: ""im dumb""",423
@TheAustrianAnimations87,"Well, I'd actually gladly listen to this professor for hours if I didn't have to write any exams.",226
@GeneseChannel,"me, an art student that almost failed math in highschool: hmm, let me watch this oxford 1st year calculus course",4.3K
@nuriabuisan1859,when no one laughed at his joke... let me give this poor man a hug,2.8K
@yutasenpai8078,"me: * scrolling youtube *
youtube: hi stupid, lets get genius",6.2K
@IamCaptainDeadpo0l,at least i wasnt rejected from OXFORD youtube school. my parent's are proud,36
@sns7743,Youtube: hey its 3am lets make you feel stupid,4.5K
@user-gs7ki2dc4v,"Me: doesnt like mathematics
Youtube: do you want to see Oxford Mathematics lecturer?
Me: well yes but why",10K
@noturavgasian,"Dan: ""So the first course is over differential equations.""

Me: ""well boys we tried.""",2.4K
@pepetotm,"I never thought I've attended Oxford mathematics class in my life, my children will be proud of me when i only understand the lecturer name n not the mathematics itself.",25
@nikolevaliente6282,"The fact that there are about 20 boards scared me before he even started teaching. 




Edit: Wow, I’ve NEVER gotten this many likes before.  Thank you for all the likes!",10K
@madl1110,"“this is probably the easiest course you’ll have this year”
me : drowns deeper in stupidity",3.5K
@Nadia72639,"[puts ""attended Oxford for mathematics"" on resume]",3.6K
@RobertLewandowski23,What a simple and best method of teaching,4
@victoriaangeline1784,"""For many of you, this might be the easiest course you will take on Oxford"" ok the truth about how stupid i am slapped me HARD",1.2K
@davidcassion2495,"""It might be the Easiest Course""
Me:
SAY SIKE RIGHT NOW",2.8K
@nickm6672,"""Did you put your name into the goblet of fire harry?"" Dumbledore asked calmly.

""We're going to do a quick and easy review"" said the Oxford mathematics professor in a gentle voice.",388
@Abbu724,After watching this my respect for online teachers have increased,5
@MotoCzar,"Nobody:
YouTube: Introductory Calculus?
1.9MM People: ok",6.3K
@prashantsamaiya1793,Everyone is a gangster until whiteboards starts shuffling...,3.6K
@maxeisenhardt8800,"- What the teacher said: “For many of you this might be the easiest course”
- What Calculus meant: ""This isn't even my final form!""",477
@cattonkcattonk,man this channel feels like the perfect video to draw and learn to,2
@eggyrepublic,"Professor: the lecture notes are online
50% of students: ight imma head out",1.6K
@estebangarcia747,"This guy used more white boards than my high school , middle school and elementary  combined did",5K
@sancheezzzy2712,You know you’re in for a hard semester when the whiteboard is able to move.,8K
@GenXJay670,"I came to youtube to see what's going on with the drones in New Jersey,  yet the gravitational pull of Dan brought me here.",6
@cryptohalloffame,Just being in the same room as this guy makes you 25% smarter...,290
@gotz1516,"Professor's Answer: (X*2-×) Ln(X*2+1)

My Answer: New Hampshire",822
@indiancurry1318,Dude has more whiteboards than I have brain cells,4.6K
@raedon2407,Still just finishing senior year but this lecture has me hooked!! What a wonderful lecturer,0
@silentroad8422,"Son: what did you learn papa?

Me: people cough every 10 second.",407
@KnightOfTreachery,"When you failed Calculus twice during college now 2 years later it haunts you again with the help of recommendations. Thanks, Youtube",233
@NathanIrizarry1,everyone was too busy crying to laugh at his jokes,349
@Tickler.1,"""For many of you this might be the easiest course that you'll take in Oxford"" I would not survive",4
@ahmedabu489,"Me : Forgetting my notepad but reassuring myself that it’s only the first lecture of the year can’t be that bad 

Professor: fills outs 3 rows of 20 white boards",308
@gnd8264,The only thing i learned here is that you can call him Dan,46K
@yashmodi919,Fun fact: YouTube recommended this to me just so i could hear that introduction to Calculus is the easiest course in Oxford,616
@김남훈-d2l,I can not unbelievable to hear Oxford lesson for free!,3
@BlinkedMyCart,I feel so stressed watching this but also relieved and safe that I will never have this class,938
@Thomas-lf4nn,i m  proud that the teacher is Romanian . see guys we aren t all beggars,314
@ebin_c_babu,"Do you understand anything??
Me: His name is Dan",2K
@problemsolvingchannel,"3:33 ""So this book is quite concise and it has various examples from physics and engineering and science. It also has the added advantage that, unlike the other books on on the reading list, if you drop this one on your foot, you might be able to to walk without seeing an orthopedic surgeon.""

 Miss those university days!",6
@HawkeWG,"""a quick review""
""a gentle introduction""
Dan is wonderful.",555
@dasmysteryman12,"Everyone's wondering why this is in their recommendations, but can we talk about how cool that board is? I've already graduated from university but I've never seen a board like that ever.",1.3K
@jehvsonespiritu8137,"Dan: ""The lecture notes are online""
Me: ""ight Imma head out """,406
@WillnardAnderson,"I love his lectures and the way he breaks down the function of each part of the equations.  I wish I had in back in school.  

These were nice and easy warm up equations to get the class started and it was a nice refresher.",17
